Movies,ReleaseYear,Genre,MovieType,Rating,StarsDirectors,Votes,RunTime(mins),Gross($)
The Vampire Diaries,2009,"Drama,Fantasy,Horror",Series,7.7,"Nina Dobrev, Paul Wesley, Ian Somerhalder, Kat Graham",293434,43,75470000.0
365 dni,2020,"Drama,Romance",Regular,3.3,"Anna Maria Sieklucka, Michele Morrone, Bronislaw Wroclawski, Otar Saralidze",63620,114,75470000.0
How to Sell Drugs Online (Fast),2019,"Comedy,Crime,Drama",Series,7.9,"Maximilian Mundt, Danilo Kamperidis, Lena Klenke, Damian Hardung",23960,30,75470000.0
Good Girls,2018,"Comedy,Crime,Drama",Series,7.8,"Christina Hendricks, Retta, Mae Whitman, Reno Wilson",38618,43,75470000.0
13 Reasons Why,2017,"Drama,Mystery,Thriller",Series,7.6,"Dylan Minnette, Katherine Langford, Christian Navarro, Alisha Boe",266386,60,75470000.0
The Queen's Gambit,2020,Drama,Regular,8.6,"Anya Taylor-Joy, Chloe Pirrie, Bill Camp, Marcin Dorocinski",336801,395,75470000.0
Legends of Tomorrow,2016,"Action,Adventure,Drama",Series,6.8,"Caity Lotz, Amy Louise Pemberton, Dominic Purcell, Nick Zano",95897,42,75470000.0
Star Trek: The Next Generation,1987,"Action,Adventure,Mystery",Series,8.6,"Patrick Stewart, Brent Spiner, Jonathan Frakes, LeVar Burton",106181,44,75470000.0
Le dernier mercenaire,2021,"Action,Comedy",Regular,5.4,"Jean-Claude Van Damme, Alban Ivanov, Samir Decazza, Assa Sylla, David Charhon",2606,110,75470000.0
Resort to Love,2021,"Comedy,Romance",Regular,5.7,"Christina Milian, Tymberlee Hill, Kayne Lee Harrison, Ruth Nadler-Nir, Steven K. Tsuchida",1591,101,75470000.0
Evil,2019,"Crime,Drama,Horror",Series,7.7,"Katja Herbers, Mike Colter, Aasif Mandvi, Maddy Crocco",15048,42,75470000.0
The Expanse,2015,"Drama,Mystery,Sci-Fi",Series,8.5,"Wes Chatham, Dominique Tipper, Steven Strait, Shohreh Aghdashloo",119644,60,75470000.0
New Amsterdam,2018,Drama,Series,8.1,"Ryan Eggold, Janet Montgomery, Freema Agyeman, Jocko Sims",27709,43,75470000.0
Line of Duty,2012,"Crime,Drama,Mystery",Series,8.7,"Martin Compston, Vicky McClure, Adrian Dunbar, Craig Parkinson",46751,60,75470000.0
The 100,2014,"Drama,Mystery,Sci-Fi",Series,7.6,"Eliza Taylor, Bob Morley, Marie Avgeropoulos, Isaiah Washington",226962,43,75470000.0
New Girl,2011,Comedy,Series,7.7,"Zooey Deschanel, Jake Johnson, Max Greenfield, Hannah Simone",200421,22,75470000.0
Prison Break,2005,"Action,Crime,Drama",Series,8.3,"Dominic Purcell, Wentworth Miller, Amaury Nolasco, Robert Knepper",492438,44,75470000.0
Sex Education,2019,"Comedy,Drama",Series,8.3,"Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey",177274,45,75470000.0
A Classic Horror Story,2021,"Drama,Horror,Mystery",Regular,5.7,"Matilda Anna Ingrid Lutz, Francesco Russo, Peppino Mazzotta, Will Merrick",8822,95,75470000.0
Feels Like Ishq,2021,"Comedy,Drama,Romance",Series,6.6,"Jojo Singh, Mihir Ahuja, Kajol Chugh, Sumali Khaniwale",848,32,75470000.0
Young Royals,2021,"Drama,Romance",Series,8.6,"Edvin Ryding, Omar Rudberg, Frida Argento, Samuel Astor",16954,50,75470000.0
Shadow and Bone,2021,"Action,Adventure,Drama",Series,7.7,"Jessie Mei Li, Ben Barnes, Archie Renaux, Freddy Carter",60283,118,75470000.0
The Hitman's Bodyguard,2017,"Action,Comedy,Crime",Regular,6.9,"Ryan Reynolds, Samuel L. Jackson, Gary Oldman, Elodie Yung, Patrick Hughes",205979,118,75470000.0
Mad Men,2007,Drama,Series,8.6,"Jon Hamm, Elisabeth Moss, Vincent Kartheiser, January Jones",216203,47,402450000.0
Élite,2018,"Crime,Drama,Thriller",Series,7.5,"Itzan Escamilla, Omar Ayuso, Miguel Bernardeau, Arón Piper",59730,60,402450000.0
Gilmore Girls,2000,"Comedy,Drama",Series,8.1,"Lauren Graham, Alexis Bledel, Keiko Agena, Scott Patterson",106650,44,402450000.0
Sky Rojo,2021,"Action,Adventure,Crime",Series,6.5,"Verónica Sánchez, Miguel Ángel Silvestre, Asier Etxeandia, Lali Espósito",6940,31,402450000.0
Lupin,2021,"Action,Crime,Drama",Series,7.5,"Omar Sy, Ludivine Sagnier, Hervé Pierre, Soufiane Guerrab",84428,45,402450000.0
Trollhunters: Rise of the Titans,2021,"Animation,Action,Adventure",Regular,6.9,"Steve Alterman, Kay Bess, Brian Blessed, Vic Chao",2353,104,402450000.0
Heartland,2007,"Drama,Family",Series,8.4,"Amber Marshall, Shaun Johnston, Michelle Morgan, Graham Wardle",11764,45,402450000.0
Jurassic Park,1993,"Action,Adventure,Sci-Fi",Regular,8.1,"Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough, Steven Spielberg",897444,127,402450000.0
Family Guy,1999,"Animation,Comedy",Series,8.1,"Seth MacFarlane, Alex Borstein, Seth Green, Mila Kunis",312584,22,89220000.0
Daredevil,2015,"Action,Crime,Drama",Series,8.6,"Charlie Cox, Vincent D'Onofrio, Deborah Ann Woll, Elden Henson",374963,54,89220000.0
