Movies,ReleaseYear,Genre,MovieType,Rating,StarsDirectors,Votes,RunTime(mins),Gross($)
Yanxi Palace: Princess Adventures,2019,Drama,Series,5.8,"Herun Wang, Yizhe Wang, Wang Yuwei",232,7,50000.0
Cleo & Cuquin,2018,"Animation,Family",Series,8.0,"Kenna Pickard, Ruben Ray, Hayley Maki, Emily Emmersen",84,7,50000.0
23:59,2011,Horror,Regular,4.6,"Tedd Chan, Stella Chung, Philip Hersh, Henley Hii, Gilbert Chan",903,78,50000.0
Moving Art,2014,Documentary,Series,8.7,no value,367,25,50000.0
A.I.C.O. Incarnation,2018,"Animation,Action,Sci-Fi",Regular,6.4,"Xanthe Huynh, Billy Kametz, Erica Mendez, Allegra Clark",1059,25,50000.0
Hot Gimmick: Girl Meets Boy,2019,Drama,Regular,4.5,"Miona Hori, Mizuki Itagaki, Kaisei Kamimura, Shôtarô Mamiya, Yûki Yamato",365,119,50000.0
Animals on the Loose: A You vs. Wild Movie,2021,"Adventure,Reality-TV",Regular,5.8,"Bear Grylls, Ben Simms",762,90,50000.0
Only for One Night,2016,Thriller,Regular,4.5,"Brian White, Karrueche Tran, Angelique Pereira, Vanessa Deleon, Chris Stokes",689,86,50000.0
The Speed Cubers,2020,"Documentary,Short,Sport",Regular,7.4,"Max Park, Schwan Park, Philipp Weyer, Feliks Zemdegs, Sue Kim",2904,39,50000.0
Maendorong Ttottos,2015,"Comedy,Romance",Regular,6.7,"So Ji-seob, Jung Jinyoung, Seohyun, Joon-hee Song",317,139,50000.0
CM101MMXI Fundamentals,2013,"Documentary,Comedy",Regular,9.2,"Cem Yilmaz, Murat Dündar",44464,139,50000.0
The Rope Curse 2,2020,Horror,Regular,4.8,"Kang-sheng Lee, Wilson Hsu, Vera Chen, Bor-Jeng Chen, Shih-Han Liao",270,104,50000.0
The Intent,2016,"Crime,Drama",Regular,4.4,"Dylan Duffus, Scorcher, Shone Romulus, Jade Asha",879,104,50000.0
Kid-E-Cats,2016,"Animation,Adventure,Comedy",Series,7.0,Alyson Leigh Rosenfeld,70,5,50000.0
Masameer,2011,"Animation,Adventure,Comedy",Series,8.3,"Ibraheem Alkhairallah, Malik Nejer",604,90,50000.0
Woman They Almost Lynched,1953,Western,Regular,6.6,"John Lund, Brian Donlevy, Audrey Totter, Joan Leslie, Allan Dwan",311,90,50000.0
Rainbow Ruby,2016,"Animation,Comedy,Family",Series,6.6,"Johnny Yong Bosch, Shannon Chan-Kent, Brian Drummond, Kate Higgins",65,11,50000.0
Swing State,2017,"Comedy,Music,Romance",Regular,4.0,"Alex Beh, Arthur L. Bernstein, Adam Falkoff, Sean Astin, Jonathan Sheldon",339,95,50000.0
Ever After High: Way Too Wonderland,2015,"Animation,Adventure,Drama",Regular,7.9,"Robbie Daymond, Jonquil Goode, Kate Higgins, Delaney Moline",249,90,50000.0
Cooked,2016,Documentary,Regular,8.1,"Michael Pollan, Isaac Pollan",2797,60,50000.0
Inside the Real Narcos,2018,"Documentary,Crime",Series,7.5,Jason Fox,659,45,50000.0
Cracked Up,2018,Documentary,Regular,7.3,"Darrell Hammond, Larry Laskowski, Lorne Michaels, Steve Higgins, Michelle Esrick",676,95,50000.0
A Killer Uncaged,2020,"Documentary,Crime",Regular,5.2,Tommy LeNoir,681,104,50000.0
La tribu,2018,"Comedy,Family",Regular,5.8,"Paco León, Carmen Machi, Maribel del Pino, María José Sarrate, Fernando Colomo",2445,90,50000.0
Si Doel the Movie 2,2019,"Drama,Romance",Regular,7.0,"Rano Karno, Maudy Koesnaedi, Cornelia Agatha, Mandra, Rano Karno",173,95,50000.0
Maggie & Bianca: Fashion Friends,2016,"Comedy,Drama,Family",Series,6.3,"Emanuela Rei, Giorgia Boni, Sergio Ruggeri, Luca Murphy",151,24,50000.0
Family Leave,2017,Comedy,Regular,6.1,Jennifer Garner,2408,106,50000.0
Generation Iron 2,2017,Documentary,Regular,6.1,"Arnold Schwarzenegger, Martyn Ford, Kai Greene, Calum Von Moger, Vlad Yudin",2408,106,50000.0
Untold: Crimes and Penalties,2021,"Documentary,Sport",Regular,5.9,no value,535,85,50000.0
Orgasm Inc.,2009,Documentary,Regular,5.9,"Elizabeth Canner, Darby Stephens, Virgil Place, Leland Wilson, Elizabeth Canner",535,73,50000.0
Yes or No: Yaak Rak Gaw Rak Loey,2010,"Comedy,Romance",Regular,6.8,"Sushar Manaying, Supanart Jittaleela, Arisara Thongborisut, Soranut Yupanun, Saratswadee Wongsomphet",1844,102,20000.0
Fire in Paradise,2019,"Documentary,Short",Regular,7.4,"Joy Beeson, Beth Bowersox, Abbie Davis, Jennifer Johnson",741,39,20000.0
Atelier,2015,"Comedy,Drama",Regular,7.2,"Mao Daichi, Mirei Kiritani, Mayuko Kawakita, Ken Kaito",877,50,20000.0
Xiaolin Chronicles,2013,"Animation,Short,Action",Series,6.7,"Eric Bauza, Michael Donovan, Jennifer Hale, David Kaye",963,22,20000.0
Futmalls,2020,Sci-Fi,Series,6.8,"Bryan Shu-Hao Chang, Wei-Jie Hu, Bruce Hung, Phoebe Lin",139,42,20000.0
Robin Robin,2021,"Animation,Short,Adventure",Regular,6.6,"Bronte Carmichael, Amira Macey-Michael",2347,30,20000.0
A cambio de nada,2015,Drama,Regular,6.6,"Miguel Herrán, Antonio Bachiller, Antonia Guzmán, Felipe García Vélez, Daniel Guzmán",2347,93,20000.0
Magmel of the Sea Blue,2019,"Animation,Action,Adventure",Series,6.1,"Jonathan Fahn, Mao Ichimichi, Kengo Kawanishi, Toshiyuki Morikawa",511,24,20000.0
Pi li shi jie,1985,"Action,Comedy",Regular,6.5,"Hou Hsiao, Chia-Hui Liu, Lily Li, Jason Piao Pai, Chia-Liang Liu",1855,90,20000.0
Di-eo Ma-i Peu-ren-jeu,2016,"Comedy,Drama",Series,8.3,"Hyun-Jung Go, Jung-Hyun Han, Hyeon Ju, Hye-ja Kim",262,70,20000.0
Paris est à nous,2019,Drama,Regular,4.6,"Noémie Schmidt, Grégoire Isvarine, Marie Mottet, Lou Castel, Elisabeth Vogler",1332,83,20000.0
The Stig-Helmer Story,2011,"Comedy,Drama",Regular,4.5,"Lasse Åberg, Jon Skolmen, Ida Högberg, Tobias Jacobsson, Lasse Åberg",1717,100,20000.0
Hasta los dientes,2018,"Documentary,Crime,Thriller",Regular,8.0,Alberto Saúl Arnaut Estrada,551,105,20000.0
Paraíso Perdido,2018,"Drama,Music",Regular,7.1,"Lee Taylor, Jaloo, Erasmo Carlos, Júlio Andrade, Monique Gardenberg",587,110,20000.0
Ribâzu ejji,2018,"Crime,Drama",Regular,6.1,"Fumi Nikaidô, Ryô Yoshizawa, Aoi Morikawa, Shûhei Uesugi, Isao Yukisada",834,118,20000.0
Nevenka,2021,"Documentary,Crime",Regular,7.0,Nevenka Fernández,557,114,20000.0
Dreamland,2016,"Comedy,Drama,Music",Regular,5.7,"Johnny Simmons, Frankie Shaw, Beverly D'Angelo, Ginko, Robert Schwartzman",549,84,20000.0
The Formula,2003,"Crime,Drama,Sport",Regular,5.6,"Robert De Niro, John Boyega, Gerard McMurray",153,81,20000.0
Hâ luô shàonû: Girl's Revenge,2020,Drama,Regular,5.6,"Yi-Ruei Chen, Teng-Hung Hsia, Moon Lee, Chu-Ping Liu, Weica Wang",153,81,20000.0
Distancia de rescate,2021,"Drama,Mystery,Thriller",Regular,4.8,"María Valverde, Dolores Fonzi, Guillermo Pfening, Germán Palacios, Claudia Llosa",294,91,20000.0
Promakhos,2014,Drama,Regular,4.8,"Pantelis Kodogiannis, Kassandra Voyagis, Giancarlo Giannini, Paul Freeman",294,91,20000.0
The Death and Life of Marsha P. Johnson,2017,Documentary,Regular,7.3,"Kurt Wolfe, Sue Yacka, Catherine Shugrue Dos Santos, Victoria Cruz, David France",2608,105,20000.0
The White Helmets,2016,"Documentary,Short,War",Regular,7.5,"Khalid Farah, Mohammed Farah, Abu Omar, Raed Saleh, Orlando von Einsiedel",7344,41,20000.0
Secrets of Great British Castles,2015,"Documentary,History",Series,7.8,"Dan Jones, Christophe Lombardi, Jay Dee, Ronald Hutton",920,45,20000.0
Hypnotic,2021,"Horror,Thriller",Regular,5.5,"Kate Siegel, Jason O'Mara, Dulé Hill, Lucie Guest",499,116,20000.0
The 3rd Eye 2,2019,"Drama,Fantasy,Horror",Regular,5.5,"Jessica Mila, Nabilah Ratna Ayu Azalia, Sophia Latjuba, Jeremy Thomas, Rocky Soraya",499,116,20000.0
Bumi Manusia,2019,"Drama,History",Regular,6.6,"Iqbaal Dhiafakhri Ramadhan, Mawar Eva de Jongh, Sha Ine Febriyanti, Giorgino Abraham, Hanung Bramantyo",619,181,20000.0
Chloe & Theo,2015,"Comedy,Drama",Regular,5.8,"Theo Ikummaq, Dakota Johnson, Ashley Springer, André De Shields, Ezna Sands",1542,81,20000.0
The Black Godfather,2019,Documentary,Regular,7.4,"Clarence Avant, Hank Aaron, Gwen Adolph, Dina R. Andrews, Reginald Hudlin",1198,118,20000.0
Motown Magic,2018,"Animation,Comedy,Family",Series,7.7,"Avia Fields, Marissa Buccianti, Monie Mon, Betsy Kenney",268,15,20000.0
Bulyaseong,2016,Drama,Series,7.0,"Jin Goo, Jeon Gook-hwan, Jung Hae-In, Lee Ho-jung",260,102,20000.0
Hamlet,2008,Comedy,Regular,5.0,Riz Ahmed,1911,102,20000.0
Unfreedom,2014,"Crime,Drama,Romance",Regular,5.0,"Victor Banerjee, Adil Hussain, Bhanu Uday, Preeti Gupta, Raj Amit Kumar",1911,102,20000.0
Zeitgeist: Addendum,2008,"Documentary,History,War",Regular,8.2,"Jacque Fresco, Roxanne Meadows, John Perkins, George Carlin, Peter Joseph",18071,123,20000.0
Pickpockets: Maestros del robo,2018,"Crime,Drama",Regular,5.4,"Carlos Bardem, Carlos Humberto Camacho, Ulises Gonzalez, Marcela Mar, Peter Webber",1109,108,20000.0
Say I Do,2020,Reality-TV,Series,7.8,"Jeremiah Brent, Thai Nguyen, Gabriele Bertaccini, Randy Caplinger",455,85,20000.0
Nerdland,2016,"Animation,Comedy",Regular,5.3,"Paul Rudd, Patton Oswalt, Hannibal Buress, Kate Micucci, Chris Prynoski",1012,85,20000.0
Recovery Boys,2018,Documentary,Regular,6.6,Elaine McMillion Sheldon,654,89,20000.0
Layla M.,2016,Drama,Regular,6.7,"Nora El Koussour, Ilias Addab, Hassan Akkouch, Yasemin Cetinkaya, Mijke de Jong",1578,98,20000.0
Baahubali: Before the Beginning,2016,"Action,Adventure,Drama",Series,7.0,"Snigdha Akolkar, Bijay Anand, Mrunal Thakur, Malyaban Lahiri",279,46,20000.0
Heavy Rescue: 401,2016,Documentary,Series,7.0,"Dave Pettitt, Kerry Schmidt, Gary Vandenheuvel, Collin Vandenheuvel",279,46,20000.0
Chosen,2017,Action,Series,5.5,"Blue Cheng-Lung Lan, Jiajia Deng, Sam Hayden-Smith, Jenny Zhou",115,91,20000.0
Bruno & Boots: Go Jump in the Pool,2016,Family,Regular,5.8,"Jonny Gray, Callan Potter, Peter Keleghan, Hannah Vandenbygaart, Vivieno Caldinelli",299,91,20000.0
Toaru Kagaku no Akuserareta,2019,"Animation,Action,Comedy",Series,7.1,"Amber Lee Connors, Akane Fujita, Brittney Karbowski, Aoi Koga",319,24,20000.0
The Ivory Game,2016,Documentary,Regular,7.9,"Andrea Crosta, Ian Stevenson, Prince William",3057,112,20000.0
Taco Chronicles,2019,Documentary,Series,7.9,"Gustavo Arellano, Francia Castañeda, Alicia González, Alejandro de la Rosa Jiménez",726,62,20000.0
Doobunzzae Seumoosal,2015,Drama,Regular,7.7,"Choi Ji-woo, Sang-yoon Lee, Choi Wonyoung, Min-Jae Kim",294,62,20000.0
The Philly Kid,2012,"Action,Drama,Sport",Regular,5.7,"Wes Chatham, Devon Sawa, Sarah Butler, Neal McDonough, Jason Connery",2138,90,20000.0
Dave Chappelle: The Bird Revelation,2017,Comedy,Regular,7.9,"Dave Chappelle, Stan Lathan",8662,49,20000.0
Nu jing cha,1973,"Action,Crime",Regular,3.6,"Charlie Chin, Qiu Yuen, Betty Pei Ti, Chin Hu, Mu Chu",1446,80,20000.0
Catching Feelings,2017,"Comedy,Drama,Romance",Regular,5.7,"Kagiso Lediga, Pearl Thusi, Andrew Buckland, Akin Omotoso, Kagiso Lediga",521,124,20000.0
Angry Birds: Summer Madness,2018,"Animation,Short,Comedy",Series,6.2,no value,602,25,20000.0
Hero Mask,2018,"Animation,Action,Crime",Series,6.2,"Greg Chun, Landon McDonald, Cam Clarke, Brad Venable",602,25,20000.0
Bill Burr: You People Are All the Same.,2012,Comedy,Regular,8.3,"Bill Burr, Paul Virzi, Jay Karas",6812,69,20000.0
Tayo the Little Bus,2010,"Animation,Comedy,Family",Series,5.5,"Jul Kohler, Patricia Kalis, Aramis Merlin, Tea Wagner",140,11,20000.0
Jim Jefferies: Intolerant,2020,Comedy,Regular,7.2,"Jim Jefferies, Scott Zabielski",2394,66,20000.0
Curtiz,2018,"Biography,Drama,History",Regular,6.0,"Ferenc Lengyel, Evelin Dobos, Declan Hannigan, Scott Alexander Young, Tamas Yvan Topolanszky",865,98,20000.0
Peter and the Farm,2016,Documentary,Regular,7.1,"Peter Dunning, Tony Stone",713,91,20000.0
Larceny,2017,"Action,Thriller",Regular,3.5,"Dolph Lundgren, Louis Mandylor, Isaac C. Singleton Jr., Jocelyn Osorio, R. Ellis Frazier",965,87,10000.0
Period. End of Sentence.,2018,"Documentary,Short",Regular,7.4,"Ajeya, Anita, Gouri Choudari, Shabana Khan, Rayka Zehtabchi",5626,26,10000.0
Mercury 13,2018,Documentary,Regular,6.9,"Joyce Case, Bill Clinton, Hillary Clinton, Jerrie Cobb",1056,78,10000.0
The Driver,2014,"Crime,Drama",Regular,7.0,"David Morrissey, Claudie Blakley, Ian Hart, Sacha Parkinson",1814,180,10000.0
Anjaan: Special Crimes Unit,2018,"Horror,Mystery,Thriller",Series,7.3,"Shahab Khan, Abhijit Sinha, Gashmeer Mahajani, Heena Parmar",291,27,10000.0
Dirty Lines,2022,"Drama,History",Series,8.5,"Benja Bruijning, Charlie Chan Dagelet, Joy Delima, Abbey Hoes",2442,27,10000.0
The Night Agent,2017,"Action,Drama,Thriller",Series,8.5,no value,2442,27,10000.0
TIME: The Kalief Browder Story,2017,"Documentary,Biography",Series,8.5,"Kalief Browder, Venida Browder, Jay-Z, Paul Prestia",2442,27,10000.0
Julie's Greenroom,2017,"Comedy,Family,Musical",Regular,8.4,"Julie Andrews, Giullian Yao Gioiello, Jennifer Barnhart, Tyler Bunch",310,27,10000.0
Animal Farm,2020,"Drama,Fantasy",Series,4.1,Andy Serkis,674,52,10000.0
Million Dollar Beach House,2020,Reality-TV,Series,4.1,"Peggy Zabakolas, Joel Roberts, Neil St. Clair",674,52,10000.0
Chico Bon Bon: Monkey with a Tool Belt,2020,"Animation,Family",Regular,6.3,"Robbie Daymond, Dayci Brookshire, Anthony Tedesco, Andy Abbott",110,52,10000.0
Pa-su-kkun,2017,Action,Regular,7.8,"Moo-Seong Choi, Yoon Da Young, Kim Sang Ho, Seo Jae Hyung",287,52,10000.0
The Helicopter Heist,2021,Drama,Regular,7.3,Jake Gyllenhaal,230,52,10000.0
Accomplice,2021,Documentary,Regular,7.3,"Graham Agassiz, Paul Basagoitia, Garett Buehler, Paul Genovese, Jeremy Grant",230,52,10000.0
Samantha!,2018,Comedy,Series,6.7,"Emanuelle Araújo, Douglas Silva, Cauã Gonçalves, Sabrina Nonata",489,27,10000.0
Queer Eye: We're in Japan!,2019,Reality-TV,Regular,8.2,"Bobby Berk, Karamo Brown, Tan France, Antoni Porowski",2149,50,10000.0
This Beast,2020,"Drama,Horror",Regular,7.9,Kurt Sutter,3274,72,10000.0
Hannah Gadsby: Douglas,2020,Comedy,Regular,7.9,"Hannah Gadsby, Madeleine Parry",3274,72,10000.0
Levius,2019,"Animation,Action,Sci-Fi",Regular,7.0,"Sean Burgos, Zach Aguilar, Todd Haberkorn, Julia McIlvaine",443,25,10000.0
Glória,2021,"Drama,History,Thriller",Series,7.8,"Matt Rippy, João Arrais, Miguel Nunes, Jimmy Taenaka",447,23,10000.0
Andes Mágicos,2019,Documentary,Series,7.8,no value,447,23,10000.0
Abby Hatcher,2018,"Animation,Adventure,Comedy",Series,6.2,"Macy Drouin, Wyatt White, Laaibah Alvi, Leo Orgil",133,23,10000.0
Gyeongseonghakyoo: Sarajin sonyeodeul,2015,"Horror,Mystery,Thriller",Regular,5.8,"Park Bo-Young, Won-Hee Go, Ryun Jo, Bo-Bi Joo, Hae-Young Lee",3279,99,10000.0
Kulipari: An Army of Frogs,2016,"Animation,Action,Fantasy",Regular,7.0,"Charlie Adler, Lacey Chabert, Keith David, Josh Keaton",235,20,10000.0
Oorlogsgeheimen,2014,"Drama,Family,History",Regular,7.1,"Maas Bronkhuyzen, Joes Brauers, Michael Nierse, Tonko Bossen, Dennis Bots",1859,95,10000.0
La pequeña Suiza,2019,Comedy,Regular,4.8,"Jon Plazaola, Maggie Civantos, Ingrid García Jonsson, Secun de la Rosa, Kepa Sojo",1143,86,10000.0
Lumea e a mea,2015,Drama,Regular,6.2,"Ana Maria Guran, Crina Muresan, Mircea Rusu, Ana Vatamanu, Nicolae Constantin Tanase",861,104,10000.0
Tarzan and Jane,2017,"Animation,Action,Adventure",Series,4.8,"Eden Gamliel, Giles Panton, Kathleen Barr, Doron Bell",242,22,10000.0
The Forest,2016,"Drama,Fantasy,Horror",Regular,6.4,"Tanapol Kamkunkam, Thidarat Kongkaew, Natpatson Lhakkum, Vithaya Pansringarm, Paul Spurrier",276,109,10000.0
Mission Blue,2014,"Documentary,Drama",Regular,8.0,"Barbara Block, James Cameron, Michael deGruy, Sylvia Earle",1825,95,10000.0
Il giorno in più,2011,"Comedy,Romance",Regular,6.2,"Fabio Volo, Isabella Ragonese, Pietro Ragusa, Camilla Filippi, Massimo Venier",1004,112,10000.0
21 Sarfarosh Saragarhi 1897,2018,War,Series,8.2,"Harry Chauhan, Paras Raajj Ganndhhi, Sooraj Ohri, Mohit Raina",364,18,10000.0
Tig Notaro: Happy To Be Here,2018,Comedy,Regular,6.7,"Indigo Girls, Tig Notaro, Amy Ray, Emily Saliers, Tig Notaro",1228,58,10000.0
Bucin,2020,"Comedy,Drama,Romance",Regular,4.1,"Andovi Da Lopez, Jovial Da Lopez, Tommy Limm, Chandra Liow, Chandra Liow",575,97,10000.0
Untitled Vince Vaughn/Netflix Project,2019,"Action,Comedy",Regular,5.6,Vince Vaughn,620,121,10000.0
Alice in Wonderland,2019,"Adventure,Family,Fantasy",Regular,5.6,Sabrina Carpenter,620,121,10000.0
Sordo,2019,"Action,Drama",Regular,5.6,"Asier Etxeandia, Marian Álvarez, Hugo Silva, Aitor Luna, Alfonso Cortés-Cavanillas",620,121,10000.0
Delete,2013,"Action,Drama,Sci-Fi",Regular,5.6,"Keir Gilchrist, Erin Karpluk, Ryan Robbins, Gil Bellows",1262,180,10000.0
Bert Kreischer: The Machine,2016,Comedy,Regular,7.7,"Bert Kreischer, Ryan Polito",1327,70,10000.0
Trump: An American Dream,2017,"Documentary,Biography",Regular,7.2,"Colin Tierney, Nikki Haskell, Rona Barrett, Wayne Barrett",3798,73,10000.0
The Killer Is Loose,1956,"Crime,Drama,Film-Noir",Regular,6.6,"Joseph Cotten, Rhonda Fleming, Wendell Corey, Alan Hale Jr., Budd Boetticher",1695,73,10000.0
My Love: Six Stories of True Love,2021,"Documentary,Romance",Regular,7.5,"Arya, Asmita, David Isham, Ginger Isham",228,418,10000.0
Nowhere Man,2019,"Action,Crime,Drama",Series,5.6,"Hsiao-chuan Chang, Alyssa Chia, Mavis Fan, Min-Fu Chou",312,12,10000.0
Flavorful Origins,2019,Documentary,Series,7.8,"Yang Chen, Hao Chen, Vivian Lu",515,12,10000.0
Stay Here,2018,Reality-TV,Series,7.5,"Genevieve Gorder, Peter Lorimer",1006,93,10000.0
Aranyak,2018,"Crime,Thriller",Series,8.1,"Saurav Khurana, Parambrata Chattopadhyay, Zakir Hussain, Ashutosh Rana",408,93,10000.0
In Family We Trust,2018,"Drama,Mystery,Thriller",Series,8.1,"Sopitnapa Dabbaransi, Thanapob Leeratanakachorn, Phollawat Manuprasert, Kritsanapoom Pibulsonggram",408,93,10000.0
Torrente 4,2011,"Action,Comedy,Crime",Regular,5.4,"Santiago Segura, Carlos Areces, Goyo Jiménez, Javier Gutiérrez, Santiago Segura",4879,93,10000.0
"Sí mi amor, la película",2020,Comedy,Regular,4.1,"Yiddá Eslava, Julián Zucchi, Andrés Salas, Magdyel Ugaz, Pedro Flores Maldonado",140,107,10000.0
Joe Rogan: Strange Times,2018,Comedy,Regular,7.4,"Joe Rogan, Anthony Giordano",3926,63,10000.0
Astronomy Club,2019,Comedy,Regular,7.1,"Jonathan Braylock, Ray Cordova, James III, Caroline Martin",527,20,10000.0
Six Years,2020,"Mystery,Romance,Thriller",Regular,4.6,David Ayer,122,105,10000.0
Finding Agnes,2020,Drama,Regular,4.6,"Jelson Bay, Sue Ramirez, Sandy Andolong, Roxanne Guinoo, Marla Ancheta",122,105,10000.0
LA Originals,2020,Documentary,Regular,7.2,"Estevan Oriol, Mister Cartoon, Snoop Dogg, Clifton Collins Jr., Estevan Oriol",1640,92,10000.0
Percentage,2014,"Action,Crime,Drama",Regular,5.6,"Cam'ron, Omar Gooding, Ving Rhames, Macy Gray, Alex Merkin",2200,86,10000.0
Along Came Jones,1945,"Comedy,Romance,Western",Regular,6.5,"Gary Cooper, Loretta Young, William Demarest, Dan Duryea, Stuart Heisler",1983,90,10000.0
Stranger Things: Spotlight,2018,Talk-Show,Regular,9.4,no value,98,96,10000.0
Banlieusards,2019,Crime,Regular,6.4,"Kery James, Jammeh Diangana, Bakary Diombera, Chloé Jouannet",1356,96,10000.0
The Amityville Haunting,2011,Horror,Regular,2.6,"Jason Williams, Amy Van Horne, Devin Clark, Nadine Crocker, Geoff Meed",2241,86,10000.0
Cateva conversatii despre o fata foarte inalta,2018,Drama,Regular,5.9,"Silvana Mihai, Florentina Nastase, Denisse Moise, Carol Ionescu, Bogdan Theodor Olteanu",261,70,10000.0
Sean Banan inuti Seanfrika,2012,Comedy,Regular,2.7,"Sean Banan, Kikki Danielsson, Dr. Alban, Johannes Brost, Jesper Andersson",1426,76,10000.0
Aurora,2018,"Horror,Thriller",Regular,4.3,"Anne Curtis, Phoebe Villamor, Mercedes Cabral, Allan Paule, Yam Laranas",554,110,10000.0
Beyond Stranger Things,2017,"Documentary,Talk-Show",Regular,7.5,"Jim Rash, Matt Duffer, Ross Duffer, Shawn Levy",1813,21,10000.0
The Big Day,2021,"Reality-TV,Romance",Series,4.6,"Daniel Bauer, Prerna Gupta, Sanjeet Raman, Itai Reuveni",291,40,10000.0
Bed & Breakfast: Love is a Happy Accident,2010,"Comedy,Romance",Regular,5.1,"Dean Cain, Juliana Paes, Bill Engvall, Julian Stone, Marcio Garcia",999,89,10000.0
Olanlar Oldu,2017,Comedy,Regular,6.2,"Ata Demirer, Tuvana Türkay, Ülkü Duru, Salih Kalyon, Hakan Algül",3728,108,10000.0
Kardec,2019,Biography,Regular,6.1,"Leonardo Medeiros, Sandra Corveloni, Christian Baltauss, Daniel Barcellos, Wagner de Assis",1352,110,10000.0
Zelazny most,2019,Drama,Regular,6.0,"Julia Kijowska, Bartlomiej Topa, Lukasz Simlat, Andrzej Konopka, Monika Jordan-Mlodzianowska",145,85,10000.0
Power Players,2019,"Animation,Action,Adventure",Series,5.9,"Benjamin Van Meggelen, Greg Chun, Kieran Walton, Landon McDonald",60,11,10000.0
Perfect World,2019,Romance,Series,6.9,"Yumi Asô, Keiko Horiuchi, Yûichi Kimura, Hokuto Matsumura",79,100,10000.0
Jiok,2021,"Drama,Fantasy,Horror",Series,7.3,"Yoo Ah-in, Kim Hyun-joo, Jeong Min Park, Jin-ah Won",2004,100,10000.0
Maktub,2017,"Comedy,Drama",Regular,7.3,"Guy Amir, Hanan Savyon, Gal Amitai, Chen Amsalem, Oded Raz",2004,100,10000.0
Spectros,2020,"Fantasy,Thriller",Series,4.7,"Cláudia Okuno, Danilo Mesquita, Mariana Sena, Enzo Barone",356,86,10000.0
Bameul geotneun seonbi,2015,"Action,Fantasy,History",Regular,7.3,"Lee Joon-Gi, Tae-Hwan Choi, Jang Hie-jin, Chang-min Shim",792,86,10000.0
Whispers,2020,"Mystery,Thriller",Regular,5.5,"Elham Ali, Mysoon Alruwaily, Norah Al Anbar, Leila Arabi",325,86,10000.0
FirstBorn,2016,Horror,Regular,4.8,"Antonia Thomas, Luke Norris, Thea Petrie, Eileen Davies, Nirpal Bhogal",1860,86,10000.0
Natale a 5 stelle,2018,Comedy,Regular,4.6,"Massimo Ghini, Ricky Memphis, Martina Stella, Paola Minaccioni, Marco Risi",662,92,10000.0
Miraculous: Ladybug & Cat Noir: Happy Birthday to You!,2017,"Animation,Short",Regular,7.3,no value,34,1,10000.0
Monty Python's Fliegender Zirkus,1972,Comedy,Regular,8.2,"Graham Chapman, John Cleese, Eric Idle, Terry Jones",1903,87,10000.0
A Thousand Goodnights,2019,Drama,Series,7.9,"Nicholas Teo, Cindy Yu-Han Lien, Ai-Ning Yao, Chung-Lin Li",72,72,10000.0
Alice Júnior,2019,"Animation,Comedy,Drama",Regular,7.0,"Anna Celestino Mota, Emmanuel Rosset, Thaís Schier, Surya Amitrano, Gil Baroni",448,87,10000.0
Poeslief: een ode aan de kat,2021,Documentary,Regular,5.1,Nicolette Kluijver,262,60,10000.0
Exhibit A,2019,"Documentary,Crime",Regular,6.3,"Grant Fredericks, Martin Grime, David Rossi, Arthur Young",874,144,10000.0
Lego Friends: The Power of Friendship,2016,Animation,Regular,6.0,"Rachelle Heger, Alexa Kahn, Erica Mendez, Marin M. Miller",37,23,10000.0
Super-Normal,2020,"Action,Adventure,Comedy",Regular,5.5,"Luke Evans, Daisy Ridley, Josh Gad",486,76,10000.0
Best of Stand-up 2020,2020,Comedy,Regular,5.5,"Eric André, Michelle Buteau, Urzila Carlson, Vir Das",486,76,10000.0
My Beautiful Broken Brain,2014,"Documentary,Biography",Regular,7.1,"David Lynch, Sophie Robinson, Hente Sodderland, Jan Sodderland",2146,86,10000.0
Joy,2018,Drama,Regular,6.6,"Anwulika Alphonsus, Mariam Sanusi, Angela Ekeleme, Gift Igweh, Sudabeh Mortezai",1218,99,10000.0
Ghosts of Sugar Land,2019,"Documentary,Short",Regular,5.5,"Jennifer Julian, Kc Okoro, Bassam Tariq",1264,21,10000.0
Jaguar,2017,"Drama,History",Regular,8.3,"Blanca Suárez, Iván Marcos, Francesc Garrido, Adrián Lastra",6750,73,10000.0
Hasan Minhaj: Homecoming King,2017,Comedy,Regular,8.3,"Hasan Minhaj, Christopher Storer",6750,73,10000.0
Dahmer vs. Gacy,2010,"Comedy,Horror",Regular,2.5,"Ford Austin, Art LaFleur, Randal Malone, Ethan Phillips, Ford Austin",501,90,10000.0
Petualangan Sherina,2000,"Adventure,Comedy,Drama",Regular,7.8,"Sherina Munaf, Derby Romero, Didi Petet, Ucy Nurul, Riri Riza",756,112,10000.0
The Way Home,2010,Drama,Regular,6.1,"Dean Cain, Pierce Gagnon, Matt Lintz, Sonny Shroyer, Lance W. Dreesen",677,89,10000.0
The Out-Law,2017,"Action,Comedy",Regular,6.1,"Pierce Brosnan, Adam Devine, Tyler Spindel",826,122,10000.0
Bank el-Hazz,2017,Comedy,Regular,6.1,"Husain Abu-Haggag, Husam Dagher, Laila Ezz El Arab, Sarah El-Amir, Ahmed El Gendy",826,122,10000.0
Ugly Duckling Series: Don't,2015,"Drama,Romance",Regular,7.9,"Wiraporn Jiravechsoontornkul, Natcha Juntapan, Puttichai Kasetsin, Korapat Kirdpan",50,50,10000.0
